Name: 深圳卫视, URL: http://222.70.184.41:9898/rtp/239.45.3.231:5140$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 353 ms
Name: 深圳卫视, URL: http://171.125.90.105:6001/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 357 ms
Name: 深圳卫视, URL: http://59.174.77.83:8848/rtp/239.254.96.137:8896$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 358 ms
Name: 深圳卫视, URL: http://60.223.72.93:8001/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-08, Resolution: 1920x1080, Response Time: 359 ms
Name: 深圳卫视, URL: http://222.68.33.45:9898/rtp/239.45.3.231:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 361 ms
Name: 深圳卫视, URL: http://59.174.98.235:8880/rtp/239.254.96.137:8896$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 362 ms
Name: 深圳卫视, URL: http://118.248.162.117:8888/rtp/239.76.253.188:9000$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 370 ms
Name: 深圳卫视, URL: http://171.125.90.159:6001/rtp/226.0.2.147:9088$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 373 ms
Name: 深圳卫视, URL: http://219.157.255.62:8888/rtp/225.1.4.90:1119$1920x1080, Date: 2024-10-09, Resolution: 1920x1080, Response Time: 373 ms
Name: 深圳卫视, URL: http://121.29.138.17:4022/rtp/239.253.92.86:8017$1920x1080, Date: 2024-10-02, Resolution: 1920x1080, Response Time: 375 ms
Name: 深圳卫视, URL: http://61.173.70.5:9988/rtp/239.45.3.231:5140$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 375 ms
Name: 深圳卫视, URL: http://60.164.128.167:8029/rtp/239.255.30.135:8231$1920x1080, Date: 2024-10-07, Resolution: 1920x1080, Response Time: 375 ms
Name: 深圳卫视, URL: http://171.118.109.218:8085/rtp/226.0.2.47:8288$720x576, Date: 2024-10-02, Resolution: 720x576, Response Time: 54 ms
Name: 深圳卫视, URL: http://118.79.7.119:6001/rtp/226.0.2.47:8288$720x576, Date: 2024-10-05, Resolution: 720x576, Response Time: 78 ms
Name: 深圳卫视, URL: http://60.186.200.183:8888/rtp/233.50.201.45:5140$720x576, Date: 2024-10-09, Resolution: 720x576, Response Time: 106 ms
Name: 深圳卫视, URL: http://121.237.244.32:8000/rtp/239.49.1.59:6000$720x576, Date: 2024-10-09, Resolution: 720x576, Response Time: 191 ms
Name: 深圳卫视, URL: http://117.93.210.226:8800/rtp/239.49.1.59:6000$720x576, Date: 2024-10-09, Resolution: 720x576, Response Time: 215 ms
Name: 深圳卫视, URL: http://180.119.183.126:8800/rtp/239.49.1.59:6000$720x576, Date: 2024-10-09, Resolution: 720x576, Response Time: 375 ms
